refreshed_at	commit	leaderboard_scored_at	public_local_screens	public_local_max	public_local_passed	supplemental_screens	supplemental_max	supplemental_passed	held_screens	held_max	held_passed	held_rank	public_rng_pct	held_rng_pct	playable	hang_gate
2026-08-25T03:53:33.645Z	fb3b1c2	2026-08-25T01:59:17.748Z	5120	11405	21	1041	1762	9	3438	11265	1	5	39.403383793410505	15.98432869293542	true	true
2026-08-25T04:04:11.639Z	fb3b1c2	2026-08-25T01:59:17.748Z	5120	11405	21	1649	3438	11	3438	11265	1	5	39.403383793410505	15.98432869293542	true	true
2026-08-25T04:23:27.096Z	918ee57	2026-08-25T01:59:17.748Z	5123	11405	21	1740	3552	11	3438	11265	1	5	39.403383793410505	15.98432869293542	true	true
2026-08-25T04:33:38.934Z	a6dd970	2026-08-25T01:59:17.748Z	5135	11405	21	1747	3646	11	3438	11265	1	5	39.403383793410505	15.98432869293542	true	true
2026-08-25T04:42:04.216Z	8d8e295	2026-08-25T01:59:17.748Z	5208	11405	21	1751	3646	11	3438	11265	1	5	39.403383793410505	15.98432869293542	true	true
2026-08-25T05:01:32.912Z	b9ace65	2026-08-25T01:59:17.748Z	5270	11405	27	1845	3739	14	3438	11265	1	5	39.403383793410505	15.98432869293542	true	true
2026-08-25T07:11:57.174Z	a51a8ec	2026-08-25T01:59:17.748Z	5741	11405	27	1844	3739	14	3438	11265	1	5	39.403383793410505	15.98432869293542	true	true
2026-08-25T07:25:02.393Z	bc66fba	2026-08-25T01:59:17.748Z	5741	11405	27	1844	3739	14	3438	11265	1	5	39.403383793410505	15.98432869293542	true	true
2026-08-25T07:51:10.141Z	e617284	2026-08-25T07:13:17.049Z	5803	11405	27	1844	3739	14	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T08:18:32.442Z	c6430b7	2026-08-25T07:13:17.049Z	5890	11405	28	1844	3739	14	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T08:37:27.977Z	6f8a5fe	2026-08-25T07:13:17.049Z	5917	11405	29	1844	3739	14	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T09:03:09.427Z	2186619	2026-08-25T07:13:17.049Z	5975	11405	30	1844	3739	14	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T09:18:12.347Z	bd62cf9	2026-08-25T07:13:17.049Z	5978	11405	31	1844	3739	14	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T09:58:30.729Z	9127b54	2026-08-25T07:13:17.049Z	6029	11405	32	1845	3739	14	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T11:00:45.834Z	fe1c582	2026-08-25T07:13:17.049Z	6240	11405	33	1869	3739	15	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T12:26:31.748Z	c27bbdc	2026-08-25T07:13:17.049Z	6642	11405	34	1869	3739	15	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T13:22:36.821Z	9c8c6a0	2026-08-25T07:13:17.049Z	6795	11405	34	2002	3739	15	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T13:37:42.085Z	2e69485	2026-08-25T07:13:17.049Z	7041	11405	34	2002	3739	15	3506	11265	1	5	40.33648740347965	16.134117453900394	true	true
2026-08-25T14:03:54.059Z	e9cc351	2026-08-25T13:18:07.116Z	7345	11405	34	2002	3739	15	4256	11265	1	5	49.7970581632061	16.81881508642895	true	true
2026-08-25T14:28:48.855Z	1550a55	2026-08-25T13:18:07.116Z	7455	11405	34	2002	3739	15	4256	11265	1	5	49.7970581632061	16.81881508642895	true	true
2026-08-25T15:12:55.263Z	ac97e0e	2026-08-25T13:18:07.116Z	7542	11405	34	2002	3739	15	4256	11265	1	5	49.7970581632061	16.81881508642895	true	true
2026-08-25T15:25:05.130Z	cc78177	2026-08-25T13:18:07.116Z	7573	11405	35	2002	3739	15	4256	11265	1	5	49.7970581632061	16.81881508642895	true	true
2026-08-25T16:14:16.087Z	45353be	2026-08-25T13:18:07.116Z	7844	11405	36	2002	3739	15	4256	11265	1	5	49.7970581632061	16.81881508642895	true	true
2026-08-25T16:45:58.101Z	c65c42c	2026-08-25T13:18:07.116Z	8250	11405	36	1999	3739	15	4256	11265	1	5	49.7970581632061	16.81881508642895	true	true
2026-08-25T17:01:55.529Z	e3b2a1f	2026-08-25T13:18:07.116Z	8356	11405	36	1999	3739	15	4256	11265	1	5	49.7970581632061	16.81881508642895	true	true
2026-08-25T17:22:25.598Z	92ef4f2	2026-08-25T13:18:07.116Z	8548	11405	36	1999	3739	15	4256	11265	1	5	49.7970581632061	16.81881508642895	true	true
2026-08-25T17:27:45.262Z	0d0c87e	2026-08-25T13:18:07.116Z	8638	11405	37	1999	3739	15	4256	11265	1	5	49.7970581632061	16.81881508642895	true	true
